ID,literal,Meanings
1874,貯,"['savings', 'store', 'lay in', 'keep', 'wear mustache']"
1875,丁,"['street', 'ward', 'town', 'counter for guns, tools, leaves or cakes of something', 'even number', '4th calendar sign']"
1876,兆,"['portent', '10**12', 'trillion', 'sign', 'omen', 'symptoms']"
1877,凋,"['wither', 'droop', 'lame']"
1878,喋,"['talk', 'chat', 'chatter']"
1879,寵,"['affection', 'love', 'patronage']"
1880,帖,"['quire (of paper)', 'bundle of seaweed', 'counter for screens', 'notebook']"
1881,帳,"['notebook', 'account book', 'album', 'curtain', 'veil', 'net', 'tent']"
1882,庁,['government office']
1883,弔,"['condolences', 'mourning', 'funeral']"
1884,張,"['counter for bows & stringed instruments', 'stretch', 'spread', 'put up (tent)']"
1885,彫,"['carve', 'engrave', 'chisel']"
1886,徴,"['indications', 'sign', 'omen', 'symptom', 'collect', 'seek', 'refer to', 'question']"
1887,懲,"['penal', 'chastise', 'punish', 'discipline']"
1888,挑,"['challenge', 'contend for', 'make love to']"
1889,暢,['stretch']
1890,朝,"['morning', 'dynasty', 'regime', 'epoch', 'period', '(North) Korea']"
1891,潮,"['tide', 'salt water', 'opportunity']"
1892,牒,"['label', 'genealogy', 'circular']"
1893,町,"['town', 'village', 'block', 'street']"
1894,眺,"['stare', 'watch', 'look at', 'see', 'scrutinize']"
1895,聴,"['listen', 'headstrong', 'naughty', 'careful inquiry']"
1896,脹,"['dilate', 'distend', 'bulge', 'fill out', 'swell']"
1897,腸,"['intestines', 'guts', 'bowels', 'viscera']"
1898,蝶,['butterfly']
1899,調,"['tune', 'tone', 'meter', 'key (music)', 'writing style', 'prepare', 'exorcise', 'investigate', 'harmonize', 'mediate']"
1900,諜,"['spy out', 'reconnoiter']"
1901,超,"['transcend', 'super-', 'ultra-']"
1902,跳,"['hop', 'leap up', 'spring', 'jerk', 'prance', 'buck', 'splash', 'sputter', 'snap']"
1903,銚,['sake bottle']
1904,長,"['long', 'leader', 'superior', 'senior']"
1905,頂,"['place on the head', 'receive', 'top of head', 'top', 'summit', 'peak']"
1906,鳥,"['bird', 'chicken']"
1907,勅,['imperial order']
1908,捗,['make progress']
1909,直,"['straightaway', 'honesty', 'frankness', 'fix', 'repair']"
1910,朕,"['majestic plural', 'imperial we']"
1911,沈,"['sink', 'be submerged', 'subside', 'be depressed', 'aloes']"
1912,珍,"['rare', 'curious', 'strange']"
1913,賃,"['fare', 'fee', 'hire', 'rent', 'wages', 'charge']"
1914,鎮,"['tranquilize', 'ancient peace-preservation centers']"
1915,陳,"['exhibit', 'state', 'relate', 'explain']"
1916,津,"['haven', 'port', 'harbor', 'ferry']"
1917,墜,"['crash', 'fall (down)']"
1918,椎,"['chinquapin', 'mallet', 'spine']"
1919,槌,"['hammer', 'mallet']"
1920,追,"['chase', 'drive away', 'follow', 'pursue', 'meanwhile']"
1921,鎚,"['hammer', 'mallet']"
1922,痛,"['pain', 'hurt', 'damage', 'bruise']"
1923,通,"['traffic', 'pass through', 'avenue', 'commute', 'counter for letters, notes, documents, etc.']"
1924,塚,"['hillock', 'mound']"
1925,栂,"['hemlock', '(kokuji)']"
1926,掴,"['catch', 'seize', 'grasp', 'hold', 'arrest', 'capture']"
1927,槻,['Zelkova tree']
1928,佃,['cultivated rice field']
1929,漬,"['pickling', 'soak', 'moisten', 'steep']"
1930,柘,['wild mulberry']
1931,辻,"['crossing', 'crossroad', 'street corners', '(kokuji)']"
1932,蔦,"['vine', 'ivy']"
1933,綴,"['compose', 'spell', 'write', 'bind (books)']"
1934,鍔,"['sword guard', 'kettle brim']"
1935,椿,['camellia']
1936,潰,"['crush', 'smash', 'break', 'dissipate']"
1937,坪,"['two-mat area', 'approx. thirty-six sq ft']"
1938,壷,"['jar', 'pot', 'hinge knuckle', ""one's aim""]"
1939,嬬,"['mistress', 'weak']"
1940,紬,['pongee (a knotted silk cloth)']
1941,爪,"['claw', 'nail', 'talon']"
1942,吊,"['suspend', 'hang', 'wear (sword)']"
1943,釣,"['angling', 'fish', 'catch', 'allure', 'ensnare']"
1944,鶴,"['crane', 'stork']"
1945,亭,"['pavilion', 'restaurant', 'mansion', 'arbor', 'cottage', 'vaudeville', 'music hall', 'stage name']"
1946,低,"['lower', 'short', 'humble']"
1947,停,"['halt', 'stopping']"
1948,偵,['spy']
1949,剃,['shave']
1950,貞,"['upright', 'chastity', 'constancy', 'righteousness']"
1951,呈,"['display', 'offer', 'present', 'send', 'exhibit']"
1952,堤,"['dike', 'bank', 'embankment']"
1953,定,"['determine', 'fix', 'establish', 'decide']"
1954,帝,"['sovereign', 'the emperor', 'god', 'creator']"
1955,底,"['bottom', 'sole', 'depth', 'bottom price', 'base', 'kind', 'sort']"
1956,庭,"['courtyard', 'garden', 'yard']"
1957,廷,"['courts', 'imperial court', 'government office']"
1958,弟,"['younger brother', 'faithful service to elders']"
1959,悌,['serving our elders']
1960,抵,"['resist', 'reach', 'touch']"
1961,挺,"['bravely volunteer', 'counter for guns, inksticks, palanquins, rickshaws']"
1962,提,"['propose', 'take along', 'carry in hand']"
1963,梯,"['ladder', 'stairs', 'insatiable drinking']"
1964,汀,"[""water's edge"", 'shore', 'bank']"
1965,碇,"['anchor', 'grapnel']"
1966,禎,"['happiness', 'blessed', 'good fortune', 'auspicious']"
1967,程,"['extent', 'degree', 'law', 'formula', 'distance', 'limits', 'amount']"
1968,締,"['tighten', 'tie', 'shut', 'lock', 'fasten']"
1969,艇,"['rowboat', 'small boat']"
1970,訂,"['revise', 'correct', 'decide']"
1971,諦,"['truth', 'clarity', 'abandon', 'give up']"
1972,蹄,['hoof']
1973,逓,"['relay', 'in turn', 'sending']"
1974,邸,"['residence', 'mansion']"
1975,鄭,['an ancient Chinese province']
1976,釘,"['nail', 'tack', 'peg']"
1977,鼎,['three legged kettle']
1978,泥,"['mud', 'mire', 'adhere to', 'be attached to']"
1979,摘,"['pinch', 'pick', 'pluck', 'trim', 'clip', 'summarize']"
1980,擢,"['excel in', 'surpass', 'pull out', 'select']"
1981,敵,"['enemy', 'foe', 'opponent']"
1982,滴,"['drip', 'drop']"
1983,的,"[""bull's eye"", 'mark', 'target', 'object', 'adjective ending']"
1984,笛,"['flute', 'clarinet', 'pipe', 'whistle', 'bagpipe', 'piccolo']"
1985,適,"['suitable', 'occasional', 'rare', 'qualified', 'capable']"
1986,鏑,['arrowhead']
1987,溺,"['drown', 'indulge']"
1988,哲,"['philosophy', 'clear']"
1989,徹,"['penetrate', 'clear', 'pierce', 'strike home', 'sit up (all night)']"
1990,撤,"['remove', 'withdraw', 'disarm', 'dismantle', 'reject', 'exclude']"
1991,轍,"['rut', 'wheel track']"
1992,迭,"['transfer', 'alternation']"
1993,鉄,['iron']
1994,典,"['code', 'ceremony', 'law', 'rule']"
1995,填,['fill in']
1996,天,"['heavens', 'sky', 'imperial']"
1997,展,"['unfold', 'expand']"
1998,店,"['store', 'shop']"
1999,添,"['annexed', 'accompany', 'marry', 'suit', 'meet', 'satisfy', 'attach', 'append', 'garnish', 'imitate']"
2000,纏,"['wear', 'wrap', 'tie', 'follow around', 'collect']"
2001,甜,['sweet']
2002,貼,"['stick', 'paste', 'apply']"
2003,転,"['revolve', 'turn around', 'change']"
2004,顛,"['overturn', 'summit', 'origin']"
2005,点,"['spot', 'point', 'mark', 'speck', 'decimal point']"
2006,伝,"['transmit', 'go along', 'walk along', 'follow', 'report', 'communicate', 'legend', 'tradition']"
2007,殿,"['Mr.', 'hall', 'mansion', 'palace', 'temple', 'lord']"
2008,澱,"['sediment', 'grounds', 'dregs', 'stagnant']"
2009,田,"['rice field', 'rice paddy']"
2010,電,['electricity']
2011,兎,"['rabbit', 'hare']"
2012,吐,"['spit', 'vomit', 'belch', 'confess', 'tell (lies)']"
2013,堵,"['fence', 'railing', 'enclosure']"
2014,塗,"['paint', 'plaster', 'daub', 'smear', 'coating']"
2015,妬,"['jealous', 'envy']"
2016,屠,"['slaughter', 'butcher', 'slay']"
2017,徒,"['on foot', 'junior', 'emptiness', 'vanity', 'futility', 'uselessness', 'ephemeral thing', 'gang', 'set', 'party', 'people']"
2018,斗,"['Big Dipper', 'ten sho (vol)', 'sake dipper', 'dots and cross radical (no. 68)']"
2019,杜,"['woods', 'grove']"
2020,渡,"['transit', 'ford', 'ferry', 'cross', 'import', 'deliver', 'diameter', 'migrate']"
2021,登,"['ascend', 'climb up']"
2022,菟,['dodder (plant)']
2023,賭,"['gamble', 'wager', 'bet']"
2024,途,"['route', 'way', 'road']"
2025,都,"['metropolis', 'capital', 'all', 'everything']"
2026,鍍,"['plating', 'gilding']"
2027,砥,"['whetstone', 'grindstone']"
2028,砺,"['whetstone', 'polish']"
2029,努,"['toil', 'diligent', 'as much as possible']"
2030,度,"['degrees', 'occurrence', 'time', 'counter for occurrences', 'consider', 'attitude']"
2031,土,"['soil', 'earth', 'ground', 'Turkey']"
2032,奴,"['guy', 'slave', 'manservant', 'fellow']"
2033,怒,"['angry', 'be offended']"
2034,倒,"['overthrow', 'fall', 'collapse', 'drop', 'break down']"
2035,党,"['party', 'faction', 'clique']"
2036,冬,['winter']
2037,凍,"['frozen', 'congeal', 'refrigerate']"
2038,刀,"['sword', 'saber', 'knife']"
2039,唐,"[""T'ang"", 'China', 'foreign']"
2040,塔,"['pagoda', 'tower', 'steeple']"
2041,塘,"['dike', 'embankment']"
2042,套,"['accumulate', 'big and long', 'hackneyed']"
2043,宕,['cave']
2044,島,['island']
2045,嶋,['island']
2046,悼,"['lament', 'grieve over']"
2047,投,"['throw', 'discard', 'abandon', 'launch into', 'join', 'invest in', 'hurl', 'give up', 'sell at a loss']"
2048,搭,"['board', 'load (a vehicle)', 'ride']"
2049,東,['east']
2050,桃,['peach']
2051,梼,"['block of wood', 'blockhead', 'stupid']"
2052,棟,"['ridgepole', 'ridge']"
2053,盗,"['steal', 'rob', 'pilfer']"
2054,淘,['select']
2055,湯,"['hot water', 'bath', 'hot spring']"
2056,涛,"['waves', 'billows']"
2057,灯,"['lamp', 'a light', 'light', 'counter for lights']"
2058,燈,"['lamp', 'light', 'counter for lights']"
2059,当,"['hit', 'right', 'appropriate', 'himself']"
2060,痘,"['pox', 'smallpox']"
2061,祷,['pray']
2062,等,"['etc.', 'and so forth', 'class (first)', 'quality', 'equal', 'similar']"
2063,答,"['solution', 'answer']"
2064,筒,"['cylinder', 'pipe', 'tube', 'gun barrel', 'sleeve']"
2065,糖,['sugar']
2066,統,"['overall', 'relationship', 'ruling', 'governing']"
2067,到,"['arrival', 'proceed', 'reach', 'attain', 'result in']"
2068,董,['correct']
2069,蕩,"['melt', 'be charmed', 'captivated']"
2070,藤,['wisteria']
2071,討,"['chastise', 'attack', 'defeat', 'destroy', 'conquer']"
2072,謄,"['mimeograph', 'copy']"
2073,豆,"['beans', 'pea', 'midget']"
2074,踏,"['step', 'trample', 'carry through', 'appraise', 'evade payment']"
2075,逃,"['escape', 'flee', 'shirk', 'evade', 'set free']"
2076,透,"['transparent', 'permeate', 'filter', 'penetrate']"
2077,鐙,['stirrup']
2078,陶,"['pottery', 'porcelain']"
2079,頭,"['head', 'counter for large animals']"
2080,騰,"['leaping up', 'jumping up', 'rising', 'advancing', 'going']"
2081,闘,"['fight', 'war']"
2082,働,"['work', '(kokuji)']"
2083,動,"['move', 'motion', 'change', 'confusion', 'shift', 'shake']"
2084,同,"['same', 'agree', 'equal']"
2085,堂,"['public chamber', 'hall']"
2086,導,"['guidance', 'leading', 'conduct', 'usher']"
2087,憧,"['yearn after', 'long for', 'aspire to', 'admire', 'adore']"
2088,撞,"['thrust', 'pierce', 'stab', 'prick']"
2089,洞,"['den', 'cave', 'excavation']"
2090,瞳,['pupil (of eye)']
2091,童,"['juvenile', 'child']"
2092,胴,"['trunk', 'torso', 'hull (ship)', 'hub of wheel']"
2093,萄,"['grape vine', 'wild grape']"
2094,道,"['road-way', 'street', 'district', 'journey', 'course', 'moral', 'teachings']"
2095,銅,['copper']
2096,峠,"['mountain peak', 'mountain pass', 'climax', 'crest', '(kokuji)']"
2097,鴇,"['wild goose', 'madam of a brothel', 'crested ibis']"
2098,匿,"['hide', 'shelter', 'shield']"
2099,得,"['gain', 'get', 'find', 'earn', 'acquire', 'can', 'may', 'able to', 'profit', 'advantage', 'benefit']"
2100,徳,"['benevolence', 'virtue', 'goodness', 'commanding respect']"
2101,涜,"['defile', 'blaspheme', 'ditch']"
2102,特,['special']
2103,督,"['coach', 'command', 'urge', 'lead', 'supervise']"
2104,禿,"['become bald', 'bare', 'wear out', 'waste away', 'little girl employed at a brothel']"
2105,篤,"['fervent', 'kind', 'cordial', 'serious', 'deliberate']"
2106,毒,"['poison', 'virus', 'venom', 'germ', 'harm', 'injury', 'spite']"
2107,独,"['single', 'alone', 'spontaneously', 'Germany']"
2108,読,['read']
2109,栃,"['horse chestnut', '(kokuji)']"
2110,橡,['horse chestnut']
2111,凸,"['convex', 'beetle brow', 'uneven']"
2112,突,"['stab', 'protruding', 'thrust', 'pierce', 'prick', 'collision', 'sudden']"
2113,椴,['fir']
2114,届,"['deliver', 'reach', 'arrive', 'report', 'notify', 'forward']"
2115,鳶,"['black kite', 'fireman', 'hook']"
2116,苫,['rush matting']
2117,寅,"['sign of the tiger', '3-5AM', 'third sign of Chinese zodiac']"
2118,酉,"['west', 'bird', 'sign of the bird', '5-7PM', 'tenth sign of Chinese zodiac', 'sake radical (no. 164)']"
2119,瀞,"['pure water', 'clear water', 'pool in a river']"
2120,噸,"['tonnage', '(kokuji)']"
2121,屯,"['barracks', 'police station', 'camp', 'ton']"
2122,惇,"['sincere', 'kind', 'considerate']"
2123,敦,"['industry', 'kindliness']"
2124,沌,['primeval chaos']
2125,豚,"['pork', 'pig']"
2126,遁,"['flee', 'escape', 'shirk', 'evade', 'set free']"
2127,頓,"['suddenly', 'immediately', 'in a hurry', 'arrange', 'stay in place', 'bow', 'kowtow']"
2128,呑,['drink']
2129,曇,"['cloudy weather', 'cloud up']"
2130,鈍,"['dull', 'slow', 'foolish', 'blunt']"
2131,奈,"['Nara', 'what?']"
2132,那,['what?']
2133,内,"['inside', 'within', 'between', 'among', 'house', 'home']"
2134,乍,"['though', 'notwithstanding', 'while', 'during', 'both', 'all']"
2135,凪,"['lull', 'calm', '(kokuji)']"
2136,薙,['mow down (the enemy)']
2137,謎,"['riddle', 'puzzle', 'enigma', 'hint', 'tip']"
2138,灘,['open sea']
2139,捺,"['press', 'print', 'affix a seal', 'stamp']"
2140,鍋,"['pot', 'pan', 'kettle']"
2141,楢,['oak']
2142,馴,"['get used to', 'experienced', 'tamed']"
2143,縄,"['straw rope', 'cord']"
2144,畷,['rice field ridge path']
2145,南,['south']
2146,楠,['camphor tree']
2147,軟,['soft']
2148,難,"['difficult', 'impossible', 'trouble', 'accident', 'defect']"
2149,汝,"['you', 'thou']"
2150,二,"['two', 'two radical (no. 7)']"
2151,尼,['nun']
2152,弐,"['II', 'two', 'second']"
2153,迩,"['approach', 'near', 'close']"
2154,匂,"['fragrant', 'stink', 'glow', 'insinuate', '(kokuji)']"
2155,賑,"['flourish', 'be bustling', 'prosperity']"
2156,肉,['meat']
2157,虹,['rainbow']
2158,廿,['twenty']
2159,日,"['day', 'sun', 'Japan', 'counter for days']"
2160,乳,"['milk', 'breasts']"
2161,入,"['enter', 'insert']"
2162,如,"['likeness', 'like', 'such as', 'as if', 'better', 'best', 'equal']"
2163,尿,['urine']
2164,韮,['leek']
2165,任,"['responsibility', 'duty', 'term', 'entrust to', 'appoint']"
2166,妊,['pregnancy']
2167,忍,"['endure', 'bear', 'put up with', 'conceal', 'secrete', 'spy', 'sneak']"
2168,認,"['acknowledge', 'witness', 'discern', 'recognize', 'appreciate', 'believe']"
2169,濡,"['get wet', 'damp', 'make love']"
2170,禰,['ancestral shrine']
2171,祢,['ancestral shrine']
2172,寧,"['rather', 'preferably', 'peaceful', 'quiet', 'tranquility']"
2173,葱,"['stone leek', 'Welsh onion']"
2174,猫,['cat']
2175,熱,"['heat', 'temperature', 'fever', 'mania', 'passion']"
2176,年,"['year', 'counter for years']"
2177,念,"['wish', 'sense', 'idea', 'thought', 'feeling', 'desire', 'attention']"
2178,捻,"['twirl', 'twist', 'play with']"
2179,撚,"['twist', 'twine', 'kinky']"
2180,燃,"['burn', 'blaze', 'glow']"
2181,粘,"['sticky', 'glutinous', 'greasy', 'persevere']"
2182,乃,"['from', 'possessive particle', 'whereupon', 'accordingly']"
2183,廼,"['in other words', 'thou', 'you', 'possessive particle']"
2184,之,"['of', 'this']"
2185,埜,"['open country', 'field', 'wilderness']"
2186,嚢,"['pouch', 'purse', 'bag']"
2187,悩,"['trouble', 'worry', 'in pain', 'distress', 'illness']"
2188,濃,"['concentrated', 'thick', 'dark', 'undiluted']"
2189,納,"['settlement', 'obtain', 'reap', 'pay', 'supply', 'store']"
2190,能,"['ability', 'talent', 'skill', 'capacity']"
2191,脳,"['brain', 'memory']"
2192,膿,"['pus', 'fester', 'discharge']"
2193,農,"['agriculture', 'farmers']"
2194,覗,"['peep', 'peek', 'come in sight']"
2195,蚤,['flea']
2196,巴,['comma-design']
2197,把,"['grasp', 'faggot', 'bunch', 'counter for bundles']"
2198,播,"['plant', 'sow']"
2199,覇,"['hegemony', 'supremacy', 'leadership', 'champion']"
2200,杷,"['kind of rake', 'loquat']"
2201,波,"['waves', 'billows', 'Poland']"
2202,派,"['faction', 'group', 'party', 'clique', 'sect', 'school']"
2203,琶,['lute']
2204,破,"['rend', 'rip', 'tear', 'break', 'destroy', 'defeat', 'frustrate']"
2205,婆,"['old woman', 'grandma', 'wet nurse']"
2206,罵,"['abuse', 'insult']"
2207,芭,['banana']
2208,馬,['horse']
2209,俳,"['haiku', 'actor']"
2210,廃,"['abolish', 'obsolete', 'cessation', 'discarding', 'abandon']"
2211,拝,"['worship', 'adore', 'pray to']"
2212,排,"['repudiate', 'exclude', 'expel', 'reject', 'line up', 'arrange']"
2213,敗,"['failure', 'defeat', 'reversal']"
2214,杯,"['counter for cupfuls', 'wine glass', 'glass', 'toast']"
2215,盃,"['glass', 'cup']"
2216,牌,"['label', 'signboard', 'medal', 'mahjong tiles']"
2217,背,"['stature', 'height', 'back', 'behind', 'disobey', 'defy', 'go back on', 'rebel']"
2218,肺,['lungs']
2219,輩,"['comrade', 'fellow', 'people', 'companions']"
2220,配,"['distribute', 'spouse', 'exile', 'rationing']"
2221,倍,"['double', 'twice', 'times', 'fold']"
2222,培,"['cultivate', 'foster']"
2223,媒,"['mediator', 'go-between']"
2224,梅,['plum']
2225,楳,['plum']
2226,煤,"['soot', 'smoke dried']"
2227,狽,"['wolf', 'be flurried']"
2228,買,['buy']
2229,売,['sell']
2230,賠,"['compensation', 'indemnify']"
2231,陪,"['obeisance', 'follow', 'accompany', 'attend on']"
2232,這,"['crawl', 'creep', 'grovel', 'trail (vines)']"
2233,蝿,['fly']
2234,秤,"['balances', 'scales', 'steelyard']"
2235,矧,['feather (arrow)']
2236,萩,['bush clover']
2237,伯,"['chief', 'count', 'earl', 'uncle', 'Brazil']"
2238,剥,"['come off', 'peel', 'fade', 'discolor']"
2239,博,"['Dr.', 'command', 'esteem', 'win acclaim', 'Ph.D.', 'exposition', 'fair']"
2240,拍,"['clap', 'beat (music)']"
2241,柏,"['oak', 'cypress']"
2242,泊,"['overnight stay', 'put up at', 'ride at anchor']"
2243,白,['white']
2244,箔,"['foil', 'gilt']"
2245,粕,"['scrap', 'waste']"
2246,舶,"['liner', 'ship']"
2247,薄,"['dilute', 'thin', 'weak (tea)', 'pampas grass']"
2248,迫,"['urge', 'force', 'imminent', 'spur on']"
2249,曝,"['bleach', 'refine', 'expose', 'air']"
2250,漠,"['vague', 'obscure', 'desert', 'wide']"
2251,爆,"['bomb', 'burst open', 'pop', 'split']"
2252,縛,"['truss', 'arrest', 'bind', 'tie', 'restrain']"
2253,莫,"['must not', 'do not', 'be not']"
2254,駁,"['refutation', 'contradiction']"
2255,麦,"['barley', 'wheat']"
2256,函,['box (archaic)']
2257,箱,"['box', 'chest', 'case', 'bin', 'railway car']"
2258,硲,"['ravine', 'gorge', 'gap', '(kokuji)']"
2259,箸,['chopsticks']
2260,肇,['beginning']
2261,筈,"['notch of an arrow', 'ought', 'must', 'should be', 'expected']"
2262,櫨,"['wax tree', 'sumac']"
2263,幡,['flag']
2264,肌,"['texture', 'skin', 'body', 'grain']"
2265,畑,"['farm', 'field', 'garden', ""one's specialty"", '(kokuji)']"
2266,畠,"['field', 'farm', 'garden', '(kokuji)']"
2267,八,"['eight', 'eight radical (no. 12)']"
2268,鉢,"['bowl', 'rice tub', 'pot', 'crown']"
2269,溌,"['sprinkle', 'lively', 'vigorous']"
2270,発,"['departure', 'discharge', 'publish', 'emit', 'start from', 'disclose', 'counter for gunshots']"
2271,醗,"['fermentation', 'brewing']"
2272,髪,['hair of the head']
2273,伐,"['fell', 'strike', 'attack', 'punish']"
2274,罰,"['penalty', 'punishment']"
2275,抜,"['slip out', 'extract', 'pull out', 'pilfer', 'quote', 'remove', 'omit']"
2276,筏,['raft']
2277,閥,"['clique', 'lineage', 'pedigree', 'faction', 'clan']"
2278,鳩,"['pigeon', 'dove']"
2279,噺,"['talk', '(kokuji)']"
2280,塙,['projecting tableland or mountain']
2281,蛤,['clam']
2282,隼,['falcon']
2283,伴,"['consort', 'accompany', 'bring with', 'companion']"
2284,判,"['judgement', 'judgment', 'signature', 'stamp', 'seal']"
2285,半,"['half', 'middle', 'odd number', 'semi-', 'part-']"
2286,反,['anti-']
2287,叛,"['disobey', 'defy', 'go back on', 'rebel', 'rebellion']"
2288,帆,['sail']
2289,搬,"['conveyor', 'carry', 'transport']"
2290,斑,"['spot', 'blemish', 'speck', 'patches']"
2291,板,"['plank', 'board', 'plate', 'stage']"
2292,氾,"['spread out', 'wide']"
2293,汎,['pan-']
2294,版,"['printing block', 'printing plate', 'edition', 'impression', 'label']"
2295,犯,"['crime', 'sin', 'offense']"
2296,班,"['squad', 'corps', 'unit', 'group']"
2297,畔,"['paddy ridge', 'levee']"
2298,繁,"['luxuriant', 'thick', 'overgrown', 'frequency', 'complexity', 'trouble']"
2299,般,"['carrier', 'carry', 'all', 'general', 'sort', 'kind']"
2300,藩,"['clan', 'enclosure']"
2301,販,"['marketing', 'sell', 'trade']"
2302,範,"['pattern', 'example', 'model']"
2303,釆,"['separate', 'divide', 'topped rice radical (no. 165)']"
2304,煩,"['anxiety', 'trouble', 'worry', 'pain', 'ill', 'annoy', 'nuisance', 'irksome']"
2305,頒,"['distribute', 'disseminate', 'partition', 'understand']"
2306,飯,"['meal', 'boiled rice']"
2307,挽,"['saw', 'turn (lathe)', 'grind']"
2308,晩,"['nightfall', 'night']"
2309,番,"['turn', 'number in a series']"
2310,盤,"['tray', 'shallow bowl', 'platter', 'tub', 'board', 'phonograph record']"
2311,磐,"['rock', 'crag', 'cliff', 'wall (in a mine)']"
2312,蕃,['grow luxuriously']
2313,蛮,['barbarian']
2314,匪,"['negation', 'wicked person']"
2315,卑,"['lowly', 'base', 'vile', 'vulgar', 'despise']"
2316,否,"['negate', 'no', 'noes', 'refuse', 'decline', 'deny']"
2317,妃,"['queen', 'princess']"
2318,庇,"['protect', 'shield', 'defend', 'eaves', 'canopy', 'penthouse', 'visor']"
2319,彼,"['he', 'that', 'the']"
2320,悲,"['grieve', 'sad', 'deplore', 'regret']"
2321,扉,"['front door', 'title page', 'front page']"
2322,批,"['criticism', 'strike']"
2323,披,"['expose', 'open']"
2324,斐,"['beautiful', 'patterned']"
2325,比,"['compare', 'race', 'ratio', 'Philippines']"
2326,泌,"['ooze', 'flow', 'soak in', 'penetrate', 'secrete']"
2327,疲,"['exhausted', 'tire', 'weary']"
2328,皮,"['pelt', 'skin', 'hide', 'leather', 'skin radical (no. 107)']"
2329,碑,"['tombstone', 'monument']"
2330,秘,"['secret', 'conceal']"
2331,緋,"['scarlet', 'cardinal']"
2332,罷,"['quit', 'stop', 'leave', 'withdraw', 'go']"
2333,肥,"['fertilizer', 'get fat', 'fertile', 'manure', 'pamper']"
2334,被,"['incur', 'cover', 'veil', 'brood over', 'shelter', 'wear', 'put on', 'be exposed (film)', 'receiving']"
2335,誹,"['ridicule', 'slander']"
2336,費,"['expense', 'cost', 'spend', 'consume', 'waste']"
2337,避,"['evade', 'avoid', 'avert', 'ward off', 'shirk', 'shun']"
2338,非,"['un-', 'mistake', 'negative', 'injustice', 'non-']"
2339,飛,"['fly', 'skip (pages)', 'scatter']"
2340,樋,"['water pipe', 'gutter', 'downspout', 'conduit']"
2341,簸,"['winnow', 'fan']"
2342,備,"['equip', 'provision', 'preparation']"
2343,尾,"['tail', 'end', 'counter for fish', 'lower slope of mountain']"
2344,微,"['delicate', 'minuteness', 'insignificance']"
2345,枇,"['loquat', 'spoon']"
2346,毘,"['help', 'assist']"
2347,琵,"['glissando on strings', 'lute']"
2348,眉,['eyebrow']
2349,美,"['beauty', 'beautiful']"
2350,鼻,"['nose', 'snout']"
2351,柊,['holly']
2352,稗,"['humble', 'deccan grass']"
2353,匹,"['equal', 'head', 'counter for small animals', 'roll of cloth']"
2354,疋,"['head', 'counter for animals']"
2355,髭,"['beard', 'mustache']"
2356,彦,"['lad', 'boy (ancient)']"
2357,膝,"['knee', 'lap']"
2358,菱,"['diamond (shape)', 'water chestnut', 'rhombus']"
2359,肘,"['elbow', 'arm']"
2360,弼,['help']
2361,必,"['invariably', 'certain', 'inevitable']"
2362,畢,"['the end', 'finish']"
2363,筆,"['writing brush', 'writing', 'painting brush', 'handwriting']"
2364,逼,"['urge', 'force', 'imminent', 'spur on']"
2365,桧,['Japanese cypress']
2366,姫,['princess']
2367,媛,"['beautiful woman', 'princess']"
2368,紐,"['string', 'cord', 'braid', 'lace', 'tape', 'strap', 'ribbon']"
2369,百,['hundred']
2370,謬,['mistake']
2371,俵,"['bag', 'bale', 'sack', 'counter for bags']"
2372,彪,"['spotted', 'mottled', 'patterned', 'small tiger']"
2373,標,"['signpost', 'seal', 'mark', 'stamp', 'imprint', 'symbol', 'emblem', 'trademark', 'evidence', 'souvenir', 'target']"
2374,氷,"['icicle', 'ice', 'hail', 'freeze', 'congeal']"
2375,漂,"['drift', 'float (on liquid)']"
2376,瓢,['gourd']
2377,票,"['ballot', 'label', 'ticket', 'sign']"
2378,表,"['surface', 'table', 'chart', 'diagram']"
2379,評,"['evaluate', 'criticism', 'comment']"
2380,豹,"['leopard', 'panther']"
2381,廟,"['mausoleum', 'shrine', 'palace']"
2382,描,"['sketch', 'compose', 'write', 'draw', 'paint']"
2383,病,"['ill', 'sick']"
2384,秒,['second (1/60 minute)']
2385,苗,"['seedling', 'sapling', 'shoot']"
2386,錨,"['anchor', 'grapnel']"
2387,鋲,"['rivet', 'tack', 'thumbtack', '(kokuji)']"
2388,蒜,['garlic']
2389,蛭,['leech']
2390,鰭,['fin']
2391,品,"['goods', 'refinement', 'dignity', 'article', 'counter for meal courses']"
2392,彬,"['refined', 'gentle']"
2393,斌,"['beautiful', 'harmony of appearance']"
2394,浜,"['seacoast', 'beach', 'seashore']"
2395,瀕,"['shore', 'brink', 'verge']"
2396,貧,"['poverty', 'poor']"
2397,賓,"['V.I.P.', 'guest']"
2398,頻,"['repeatedly', 'recur']"
2399,敏,"['cleverness', 'agile', 'alert']"
2400,瓶,"['bottle', 'vial', 'jar', 'jug', 'vat', 'urn']"
2401,不,"['negative', 'non-', 'bad', 'ugly', 'clumsy']"
2402,付,"['adhere', 'attach', 'refer to', 'append']"
2403,埠,['wharf']
2404,夫,"['husband', 'man']"
2405,婦,"['lady', 'woman', 'wife', 'bride']"
2406,富,"['wealth', 'enrich', 'abundant']"
2407,冨,"['enrich', 'wealthy', 'abundant']"
2408,布,"['linen', 'cloth', 'spread', 'distribute']"
